R_saleid|R_itemid|R_customerid|R_storeid|R_time|R_qty|R_pricerange|S_saleid|S_I|S_C|S_S|S_T|S_Q|S_P
309|109|25|82|51|2|supercheap|82506|11450|25|33|93|17|supercheap
845|84|25|81|25|2|outrageous|82506|11450|25|33|93|17|supercheap
667|133|39|30|67|26|outrageous|7383|10678|39|99|73|9|moderate
863|85|25|19|46|10|expensive|82506|11450|25|33|93|17|supercheap
709|120|25|23|12|45|supercheap|82506|11450|25|33|93|17|supercheap
622|111|25|60|61|15|outrageous|82506|11450|25|33|93|17|supercheap
507|118|25|54|46|27|outrageous|82506|11450|25|33|93|17|supercheap
374|106|65|41|46|1|outrageous|28270|8299|65|59|31|48|supercheap
374|106|65|41|46|1|outrageous|38028|8752|65|28|73|41|supercheap
374|106|65|41|46|1|outrageous|32132|19066|65|83|73|1|supercheap
261|107|25|70|67|10|outrageous|82506|11450|25|33|93|17|supercheap
866|117|39|2|67|8|outrageous|7383|10678|39|99|73|9|moderate
625|116|25|58|68|29|expensive|82506|11450|25|33|93|17|supercheap
62|131|25|68|63|40|outrageous|82506|11450|25|33|93|17|supercheap
176|171|25|32|67|8|expensive|82506|11450|25|33|93|17|supercheap
260|88|25|68|49|48|expensive|82506|11450|25|33|93|17|supercheap
635|103|25|40|61|12|outrageous|82506|11450|25|33|93|17|supercheap
948|81|25|78|67|30|expensive|82506|11450|25|33|93|17|supercheap
155|106|25|70|67|10|outrageous|82506|11450|25|33|93|17|supercheap
892|125|25|15|67|5|moderate|82506|11450|25|33|93|17|supercheap
661|116|25|74|67|35|outrageous|82506|11450|25|33|93|17|supercheap
735|84|65|89|67|1|outrageous|28270|8299|65|59|31|48|supercheap
735|84|65|89|67|1|outrageous|38028|8752|65|28|73|41|supercheap
735|84|65|89|67|1|outrageous|32132|19066|65|83|73|1|supercheap
819|95|25|1|7|1|outrageous|82506|11450|25|33|93|17|supercheap
307|130|25|37|76|16|outrageous|82506|11450|25|33|93|17|supercheap
751|83|25|82|96|27|outrageous|82506|11450|25|33|93|17|supercheap
808|74|25|2|61|34|outrageous|82506|11450|25|33|93|17|supercheap
785|113|25|82|29|35|supercheap|82506|11450|25|33|93|17|supercheap
135|115|25|51|69|20|expensive|82506|11450|25|33|93|17|supercheap
57|95|25|1|78|24|outrageous|82506|11450|25|33|93|17|supercheap
188|113|25|97|13|16|outrageous|82506|11450|25|33|93|17|supercheap
585|111|39|32|80|18|moderate|7383|10678|39|99|73|9|moderate
473|194|100|91|67|1|outrageous|37441|9565|100|81|92|2|expensive
